,Title,Published_date,Views,Likes,Comments,Month
101,Is Big Tech Overrated in 2025? | Alex The Analyst Show Episode 28,2024-12-31,9099,312,67,Dec
102,Most Commonly Asked Questions by Aspiring Data Analysts,2024-12-24,16555,769,35,Dec
103,My Career Progression 7+ Years | Recreational Therapist to Data Analyst | Alex The Analyst Show 27,2024-12-17,9204,394,125,Dec
104,"Ultimate Data Analyst Bootcamp [24 Hours!] for FREE | SQL, Excel, Tableau, Power BI, Python, Azure",2024-12-10,1173824,42168,1423,Dec
105,"Learn AWS for Analytics in Under 2 Hours | S3, Athena, Glue, Glue DataBrew, Quicksight",2024-12-03,47265,1181,46,Dec
106,"Learn Azure for Analytics in Under 90 Minutes | Azure Synapse Analytics, SQL Databases, ADF + More",2024-11-26,27056,617,26,Nov
107,"Learn Power BI in Under 3 Hours | Formatting, Visualizations, Dashboards + Full Project",2024-11-19,767442,12034,348,Nov
108,Coding with R and AI Now on Analyst Builder!,2024-11-12,6603,189,16,Nov
109,"Learn Tableau in Under 2 hours | Dashboards, Relationships, Visualizations + Mini Project",2024-11-05,361381,5925,137,Nov
110,"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning",2024-10-29,177905,3859,115,Oct
111,Nobody cares... so just do it!,2024-10-24,22946,2074,60,Oct
112,"Learn Pandas in Under 3 Hours | Filtering, Joins, Indexing, Data Cleaning, Visualizations",2024-10-22,136610,2907,92,Oct
113,Free Data Analyst Bootcamp 2024,2024-10-17,18524,1246,43,Oct
114,"Learn Python in Under 3 Hours | Variables, For Loops, Web Scraping + Full Project",2024-10-15,72503,1681,57,Oct
115,Learn SQL Beginner to Advanced in Under 4 Hours,2024-10-08,1510623,28374,1013,Oct
116,AWS Quicksight | AWS Essentials,2024-10-01,39664,514,19,Oct
117,AWS Glue DataBrew and Glue | AWS Essentials,2024-09-24,15115,220,13,Sep
118,Amazon Athena in AWS | AWS Fundamentals,2024-09-17,23888,385,12,Sep
119,Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,2024-09-11,6109,199,8,Sep
120,Landing a Data Job Course on Analyst Builder,2024-09-03,24256,825,96,Sep
121,S3 Storage in AWS | AWS Essentials,2024-08-27,18550,291,14,Aug
122,AWS Setup and UI Walkthough | AWS,2024-08-20,21848,392,15,Aug
123,Getting Started in Azure Synapse Analytics | Azure Fundamentals,2024-08-13,46516,614,19,Aug
124,August Q/A Livestream! Come Ask Me Anything!,2024-08-09,5378,222,18,Aug
125,Getting Started in Azure Data Factory | Azure Fundamentals,2024-08-06,63614,935,41,Aug
126,How to use Azure SQL Databases | Azure Fundamentals,2024-07-30,68056,1094,35,Jul
