,Title,Published_date,Views,Likes,Comments
116,AWS Quicksight | AWS Essentials,2024-10-01T12:00:58Z,39664,514,19
117,AWS Glue DataBrew and Glue | AWS Essentials,2024-09-24T12:00:16Z,15115,220,13
118,Amazon Athena in AWS | AWS Fundamentals,2024-09-17T12:00:24Z,23888,385,12
119,Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,2024-09-11T03:20:13Z,6109,199,8
120,Landing a Data Job Course on Analyst Builder,2024-09-03T12:00:05Z,24256,825,96
121,S3 Storage in AWS | AWS Essentials,2024-08-27T12:00:47Z,18550,291,14
122,AWS Setup and UI Walkthough | AWS,2024-08-20T12:00:41Z,21848,392,15
123,Getting Started in Azure Synapse Analytics | Azure Fundamentals,2024-08-13T12:01:05Z,46516,614,19
124,August Q/A Livestream! Come Ask Me Anything!,2024-08-09T15:17:26Z,5378,222,18
125,Getting Started in Azure Data Factory | Azure Fundamentals,2024-08-06T12:00:57Z,63614,935,41
126,How to use Azure SQL Databases | Azure Fundamentals,2024-07-30T12:00:10Z,68056,1094,35
127,Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,2024-07-25T12:00:34Z,64005,1780,167
128,Blob Storage and Storage Accounts in Azure | Azure Fundamentals,2024-07-23T12:01:00Z,24521,429,14
129,Azure Account Setup + $200 Free Credits | Azure Fundamentals,2024-07-16T12:00:38Z,37197,676,31
130,Building a Fully Interactive Web App using Shiny for Python,2024-07-09T12:01:07Z,18994,415,25
131,Shiny for Python Components and Layouts | Customizing You Web App,2024-07-02T12:01:00Z,6808,183,13
132,Shiny for Python Setup and Install | Deploying First Shiny App,2024-06-25T12:00:53Z,17044,387,41
133,Is the Economy on the Brink of a Recession? | Let's Look at the Data!,2024-06-18T12:00:06Z,13872,808,130
134,Top 5 Most Common Excel Functions in Excel,2024-06-11T12:00:10Z,10384,407,9
135,5 Awesome Excel Functions You've Probably Never Heard Of,2024-06-04T12:00:09Z,7124,246,17
136,How to Create Custom Functions in Excel | Lambda Functions,2024-05-28T12:00:23Z,9710,267,12
137,Top 5 Most Popular Functions In Microsoft Excel,2024-05-21T12:00:53Z,18128,471,27
138,Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,2024-05-14T12:00:28Z,7658,93,10
139,2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,2024-05-07T15:16:53Z,147558,4400,104
140,Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,2024-05-07T12:00:30Z,2667,65,11
141,How We Started Analyst Builder | How We Created It | Part 1,2024-04-30T12:00:07Z,6992,216,35
142,MySQL Exploratory Data Analysis | Full Project,2024-04-23T12:00:21Z,183434,4203,187
143,750k Subscriber Livestream! | Giveaways | Songs | Q/A,2024-04-18T18:35:41Z,5214,229,13
144,Data Cleaning in MySQL | Full Project,2024-04-16T12:00:05Z,460734,9560,1250
145,How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,2024-04-09T12:00:08Z,9427,294,87
146,Triggers and Events in MySQL | Advanced MySQL Series,2024-04-02T12:00:19Z,170040,5311,192
147,How to give up on the job search fast,2024-03-27T12:19:35Z,32216,2304,35
148,Stored Procedures in MySQL | Advanced MySQL Series,2024-03-26T12:00:12Z,181176,3329,104
149,Temp Tables in MySQL | Advanced MySQL Series,2024-03-19T12:00:56Z,117836,2411,82
150,CTEs in MySQL | Advanced MySQL Series,2024-03-12T12:00:23Z,206021,3238,95
151,7 Mistakes to Avoid During Your Data Analyst Job Search,2024-03-05T13:00:01Z,20475,760,50
152,#DataAnalyst #AnalystBuilder #SQL,2024-03-01T13:43:29Z,24012,1576,17
153,Q/A Livestream | February Livestream | Ask Me Anything!,2024-02-29T17:10:18Z,5703,189,7
154,Window Functions in MySQL | Intermediate MySQL,2024-02-27T13:00:08Z,243598,6369,169
155,Twitter making me tear up over here 🥹,2024-02-23T13:34:27Z,8557,321,12
156,Subqueries in MySQL | Intermediate MySQL,2024-02-20T13:00:32Z,200994,3121,112
157,Case Statements in MySQL | Intermediate MySQL,2024-02-13T13:00:19Z,180371,3095,147
158,We did our best,2024-02-08T13:59:09Z,8200,251,5
159,"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",2024-02-06T13:00:35Z,88762,1040,52
160,Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,2024-01-30T17:30:05Z,13537,474,10
161,String Functions in MySQL | Intermediate MySQL Series,2024-01-30T13:00:17Z,202243,3405,99
162,Unions in MySQL | Intermediate MySQL,2024-01-23T13:00:41Z,194945,3356,106
163,Joins in MySQL | Intermediate MySQL,2024-01-16T13:00:42Z,427042,5889,223
164,Is my background in Data Analytics?,2024-01-15T14:22:09Z,34586,2248,33
165,Solving VERY HARD SQL Interview Questions on Analyst Builder,2024-01-11T13:00:16Z,27122,649,23
166,Solving HARD SQL Interview Questions on Analyst Builder,2024-01-09T13:00:24Z,35545,722,38
167,Hard Skills vs Soft Skills,2024-01-08T13:06:02Z,18039,1069,7
168,Solving Medium SQL Interview Questions on Analyst Builder,2024-01-04T13:00:28Z,39077,866,51
169,Solving Easy SQL Interview Questions on Analyst Builder,2024-01-02T13:00:25Z,75288,1603,61
170,How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,2023-12-26T13:00:10Z,453429,17505,542
171,Limit + Aliasing in MySQL | MySQL Beginner Series,2023-12-19T13:00:24Z,209604,3886,123
172,Practice SQL and Python right on your Phone!,2023-12-13T16:12:42Z,10975,642,20
173,Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,2023-12-12T13:00:21Z,26183,1036,112
174,Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,2023-12-11T19:04:05Z,12096,475,14
175,Having vs Where in MySQL | Beginner MySQL Series,2023-12-05T13:00:35Z,251092,4255,73
176,#Excel is Frustrating,2023-11-29T18:00:02Z,13191,795,11
177,7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,2023-11-28T17:36:39Z,14359,430,11
178,Group By + Order By in MySQL | Beginner MySQL Series,2023-11-28T13:00:57Z,334977,5505,123
179,Where Clause in MySQL | Beginner MySQL Series,2023-11-21T13:00:24Z,365653,5659,176
180,Why Data Analysts Hate Using Excel,2023-11-14T13:00:21Z,26697,972,139
181,Select Statement in MySQL | Beginner MySQL Series,2023-11-07T13:00:11Z,570618,6983,241
182,Installing MySQL and Creating Databases | MySQL for Beginners,2023-10-31T12:00:54Z,1603276,20011,2264
183,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-10-26T16:30:05Z,27634,992,12
184,How to Start a Data YouTube Channel,2023-10-24T12:00:30Z,10233,446,45
185,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,2023-10-20T16:18:10Z,5172,237,11
186,Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,2023-10-17T12:00:04Z,24039,908,293
187,Data Analyst vs Business Analyst,2023-10-13T13:37:21Z,190166,8780,65
188,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,2023-10-10T12:00:36Z,32421,852,212
189,#DataAnalysis #DataAnalyst #DataRealities,2023-10-09T12:11:16Z,38183,2091,27
190,#DataAnalyst #DataCareers #DataAnalysis,2023-10-05T12:13:45Z,18473,1335,32
